link, exercise, hash, file, skill
preliminaries/01-modeling-change.html, XX.XX, YU5NCD, Exercises/bird-wake-shoe.Rmd, unassigned
preliminaries/01-modeling-change.html, XX.XX, zbkNpV, Exercises/doe-trim-table.Rmd, unassigned
preliminaries/01-modeling-change.html, 1.1, VDKUI, Exercises/cow-likes-chair.Rmd, unassigned
preliminaries/01-modeling-change.html, XX.XX, 37DC14, Exercises/duck-pay-radio.Rmd, unassigned
preliminaries/02-notation.html, 5.1, TKWEW, Exercises/convention-drill.Rmd, unassigned
preliminaries/02-notation.html, 5.2, LDNE, Exercises/function-notation.Rmd, unassigned
preliminaries/02-notation.html, 5.3, kZG5Fj, Exercises/puppy-build-radio.Rmd, unassigned
preliminaries/02-notation.html, 5.4, aeOnO5, Exercises/horse-sing-drawer.Rmd, unassigned
preliminaries/02-notation.html, 5.5, ooJK5d, Exercises/pine-light-mug.Rmd, unassigned
preliminaries/02-notation.html, 3.5, BXCA4, Exercises/fish-sees-tree.Rmd, unassigned
preliminaries/02-notation.html, XX.XX, 0V510o, Exercises/goat-look-boat.Rmd, R
 preliminaries/02-notation.html, XX.XX, 0V510o, Exercises/goat-look-boat.Rmd, formula
 preliminaries/02-notation.html, XX.XX, 0V510o, Exercises/goat-look-boat.Rmd, notation
preliminaries/02-notation.html, XX.XX, Ce79t3, Exercises/pollen-fly-lamp.Rmd, makeFun()
preliminaries/02-notation.html, XX.XX, BaEJkS, Exercises/seahorse-take-pen.Rmd, unassigned
preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, reading
 preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, slice
 preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, read
 preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, surface
 preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, read
 preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, contour
 preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, plots
preliminaries/04-pattern-book-functions.html, 2.1, H2KG3, Exercises/pattern-book-zeros.Rmd, unassigned
preliminaries/04-pattern-book-functions.html, 2.2, Pdt9jy, Exercises/lobster-ride-glasses.Rmd, unassigned
preliminaries/04-pattern-book-functions.html, 2.3, VIW7T, Exercises/pattern-book-axis-crossing.Rmd, unassigned
preliminaries/04-pattern-book-functions.html, 7.4, ILESX, Exercises/cat-lend-futon.Rmd, unassigned
preliminaries/04-pattern-book-functions.html, 2.4, Qj0JAr, Exercises/bear-lay-plant.Rmd, unassigned
preliminaries/04-pattern-book-functions.html, 3.3, DLWSA, Exercises/pattern-book-domain.Rmd, unassigned
preliminaries/04-pattern-book-functions.html, 3.1, RLUCX, Exercises/range-domain.Rmd, unassigned
preliminaries/04-pattern-book-functions.html, 3.4, MNCLS2, Exercises/pattern-book-range.Rmd, unassigned
preliminaries/05-describing-functions.html, 4.1, H2eu2, Exercises/pattern-book-descriptions.Rmd, unassigned
preliminaries/05-describing-functions.html, 4.2, PYKG5, Exercises/pattern-book-concave.Rmd, unassigned
